5 minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Speed (mph)	# Lane Points	% Observed
04/06/2011 00:00	74.8	71	67.4	62.8	69.6	4	100
04/06/2011 00:05	72.6	68.6	65.9	59.7	66.3	4	100
04/06/2011 00:10	71.6	67.1	60.9	58.5	64.4	4	100
04/06/2011 00:15	70.6	65.5	64.2	57.8	64.9	4	100
04/06/2011 00:20	69.5	62.8	60.1	57.6	62.7	4	100
04/06/2011 00:25	66.9	62.2	55.2	58.1	60.5	4	100
04/06/2011 00:30	65.4	59.5	52	57.4	58.2	4	100
04/06/2011 00:35	64	58.9	52.6	56.9	58.7	4	100
04/06/2011 00:40	63.6	58.6	51.5	54.8	57.2	4	100
04/06/2011 00:45	63.4	58.4	50.6	53.3	55.8	4	100
04/06/2011 00:50	63.5	58.9	51.8	53.9	57.1	4	100
04/06/2011 00:55	62.9	58.9	53.4	58.4	57.8	4	100
04/06/2011 01:00	62.8	58.7	53.6	59.9	58	4	100
04/06/2011 01:05	63.1	58.9	53.7	57.9	58.3	4	100
04/06/2011 01:10	63.4	58.6	51.5	58.4	58.2	4	100
04/06/2011 01:15	63.5	56.6	50.5	57	56.2	4	100
04/06/2011 01:20	63.3	57	48.2	58	54.3	4	100
04/06/2011 01:25	63.3	56.7	48.9	56.5	53.4	4	100
04/06/2011 01:30	62.9	57.4	50.3	56.2	56.2	4	100
04/06/2011 01:35	62.9	57.6	49.2	57.2	55.8	4	100
04/06/2011 01:40	62.7	58.1	49	55.4	55.3	4	100
04/06/2011 01:45	62.9	58.4	49.6	54.7	55.2	4	100
04/06/2011 01:50	62.8	58	49.9	53.8	55.3	4	100
04/06/2011 01:55	62.5	58.6	50.8	52.7	55.7	4	100
04/06/2011 02:00	63	58.1	54.5	52.8	56.8	4	100
04/06/2011 02:05	63.2	58.9	57.2	52.2	57.9	4	100
04/06/2011 02:10	62.3	59.1	56.6	50.9	56.9	4	100
04/06/2011 02:15	62.5	57.6	54.5	49.2	56.4	4	100
04/06/2011 02:20	62.1	57.7	53.3	48.1	56.4	4	100
04/06/2011 02:25	61.8	57.6	51.2	48.7	57.2	4	100
04/06/2011 02:30	61.4	55.1	48.8	48.3	53.4	4	100
04/06/2011 02:35	61.6	54.1	49.4	48.3	53.9	4	100
04/06/2011 02:40	61.5	54.4	48.9	48	53.3	4	100
04/06/2011 02:45	61.3	54.9	49.4	47.3	54.1	4	100
04/06/2011 02:50	60.3	55.4	47.9	46.8	52	4	100
04/06/2011 02:55	59.9	55.9	48.1	47.3	51.7	4	100
04/06/2011 03:00	59.5	56.4	46.7	47.3	54.4	4	100
04/06/2011 03:05	59.4	54.8	47	47.1	52	4	100
04/06/2011 03:10	59.7	54.9	46.5	47.1	52	4	100
04/06/2011 03:15	60	54.6	43.6	47.2	49.6	4	100
04/06/2011 03:20	60.2	55	41.1	46	50.6	4	100
04/06/2011 03:25	60.1	54.2	42.6	45	50.2	4	100
04/06/2011 03:30	59.5	55.4	43.5	46.5	51.8	4	100
04/06/2011 03:35	58.6	55.1	45.4	46	51.2	4	100
04/06/2011 03:40	59.4	55.9	47.3	46	54.6	4	100
04/06/2011 03:45	59.8	56.2	46.9	49.1	53.1	4	100
04/06/2011 03:50	60	56.5	46.1	50.6	54.8	4	100
04/06/2011 03:55	60.7	56.8	46.2	49.5	53.5	4	100
04/06/2011 04:00	60.6	54.9	47.6	48.7	53.9	4	100
04/06/2011 04:05	60.5	55.1	49.2	48	54.2	4	100
04/06/2011 04:10	60.2	55.5	47.8	48.2	53.9	4	100
04/06/2011 04:15	61.5	56.6	47.6	48.7	55	4	100
04/06/2011 04:20	61.3	57.1	47.3	47.6	53.8	4	100
04/06/2011 04:25	61.5	57.7	48.6	47	55	4	100
04/06/2011 04:30	61.5	55.3	47	51.1	55.1	4	100
04/06/2011 04:35	61.4	56.5	46.2	50.5	55.1	4	100
04/06/2011 04:40	61.4	55.9	46.7	50.1	55.4	4	100
04/06/2011 04:45	62.5	57.6	49.3	48.5	56.2	4	100
04/06/2011 04:50	63.1	56.3	48.3	48.1	56.2	4	100
04/06/2011 04:55	62.3	56.9	47.8	47.9	55.8	4	100
04/06/2011 05:00	61.5	56.3	45.7	45.2	54.4	4	100
04/06/2011 05:05	61.2	57	48	46.3	55.2	4	100
04/06/2011 05:10	61.1	55.5	45.5	47.8	54.9	4	100
