Timestamp	Lane 1 Occ (%)	Lane 1 Flow (Veh/5min)	# Lane Points	% Observed
04/06/2011 06:00:00	.1346	173	4	100
04/06/2011 06:05:00	.1205	158	4	100
04/06/2011 06:10:00	.1587	188	4	100
04/06/2011 06:15:00	.1411	171	4	100
04/06/2011 06:20:00	.2232	182	4	100
04/06/2011 06:25:00	.3014	150	4	100
04/06/2011 06:30:00	.1842	177	4	100
04/06/2011 06:35:00	.2846	160	4	100
04/06/2011 06:40:00	.2789	158	4	100
04/06/2011 06:45:00	.2199	153	4	100
04/06/2011 06:50:00	.2195	154	4	100
04/06/2011 06:55:00	.196	146	4	100
04/06/2011 07:00:00	.2577	136	4	100
04/06/2011 07:05:00	.3022	140	4	100
04/06/2011 07:10:00	.3489	141	4	100
04/06/2011 07:15:00	.3078	132	4	100
04/06/2011 07:20:00	.3058	121	4	100
04/06/2011 07:25:00	.3215	118	4	100
04/06/2011 07:30:00	.47	84	4	100
04/06/2011 07:35:00	.3232	136	4	100
04/06/2011 07:40:00	.3335	111	4	100
04/06/2011 07:45:00	.3209	118	4	100
04/06/2011 07:50:00	.3217	128	4	100
04/06/2011 07:55:00	.3427	127	4	100
04/06/2011 08:00:00	.362	102	4	100
04/06/2011 08:05:00	.4288	82	4	100
04/06/2011 08:10:00	.365	95	4	100
04/06/2011 08:15:00	.395	84	4	100
04/06/2011 08:20:00	.4079	92	4	100
04/06/2011 08:25:00	.2927	124	4	100
04/06/2011 08:30:00	.3019	125	4	100
04/06/2011 08:35:00	.3224	123	4	100
04/06/2011 08:40:00	.3337	111	4	100
04/06/2011 08:45:00	.3627	112	4	100
04/06/2011 08:50:00	.2533	132	4	100
04/06/2011 08:55:00	.3099	126	4	100
04/06/2011 09:00:00	.2801	134	4	100
04/06/2011 09:05:00	.2373	154	4	100
04/06/2011 09:10:00	.3562	88	4	100
04/06/2011 09:15:00	.3027	117	4	100
04/06/2011 09:20:00	.1453	166	4	100
04/06/2011 09:25:00	.3199	121	4	100
04/06/2011 09:30:00	.1999	178	4	100
04/06/2011 09:35:00	.1008	139	4	100
04/06/2011 09:40:00	.2466	138	4	0
04/06/2011 09:45:00	.1252	165	4	100
04/06/2011 09:50:00	.1061	143	4	100
04/06/2011 09:55:00	.1205	170	4	100
04/06/2011 10:00:00	.0945	130	4	100
04/06/2011 10:05:00	.1096	150	4	100
04/06/2011 10:10:00	.1025	140	4	100
04/06/2011 10:15:00	.1168	159	4	100
04/06/2011 10:20:00	.1231	169	4	100
04/06/2011 10:25:00	.0954	127	4	100
04/06/2011 10:30:00	.1089	148	4	100
04/06/2011 10:35:00	.1289	174	4	100
04/06/2011 10:40:00	.1082	150	4	100
04/06/2011 10:45:00	.1176	156	4	100
04/06/2011 10:50:00	.1089	142	4	100
04/06/2011 10:55:00	.1058	148	4	100
04/06/2011 11:00:00	.0838	118	4	100
04/06/2011 11:05:00	.1447	195	4	100
04/06/2011 11:10:00	.0996	133	4	100
04/06/2011 11:15:00	.1095	147	4	100
04/06/2011 11:20:00	.1076	146	4	0
04/06/2011 11:25:00	.1047	141	4	0
04/06/2011 11:30:00	.1263	173	4	100
04/06/2011 11:35:00	.119	149	4	0
04/06/2011 11:40:00	.1141	144	4	0
04/06/2011 11:45:00	.107	127	4	0
04/06/2011 11:50:00	.1236	161	4	0
04/06/2011 11:55:00	.0886	128	4	100
04/06/2011 12:00:00	.0954	132	4	100
04/06/2011 12:05:00	.1018	136	4	100
04/06/2011 12:10:00	.1045	143	4	100
04/06/2011 12:15:00	.1006	138	4	100
04/06/2011 12:20:00	.102	141	4	100
04/06/2011 12:25:00	.1038	141	4	100
04/06/2011 12:30:00	.0879	118	4	100
04/06/2011 12:35:00	.1069	148	4	100
04/06/2011 12:40:00	.1033	140	4	100
04/06/2011 12:45:00	.1067	149	4	100
04/06/2011 12:50:00	.108	146	4	100
04/06/2011 12:55:00	.1079	143	4	100

